fortune_company_id,fortune_rank,fortune_revenues,fortune_revchange,fortune_profits,fortune_prftchange,fortune_assets,fortune_mktval,fortune_rankchange1000,fortune_employees,fortune_rankchange,name,fortune_sector,fortune_industry,fortune_hqcity,fortune_hqstate,fortune_rankgain,fortune_rankdrop,fortune_newcomer,fortune_profitable,fortune_ceofounder,fortune_ceowoman,fortune_jobgrowth,fortune1000-y-n,best-company-y-n,permalink
257,938,2409.3,2.4,1160.5,31.8,29221.9,5129.7,-59,1450,,slm,financials,diversified financials,newark,de,,,no,yes,no,no,no,no,no,https://fortune.com/company/slm/fortune500/
258,934,2414.9,34.8,68.6,,2586.4,1836.1,,4400,,wolverine world wide,apparel,apparel,rockford,mi,,,no,yes,no,no,yes,no,no,https://fortune.com/company/wolverine-world-wide/fortune500/
259,936,2412.4,19,565.7,179.8,8876.4,5606.8,15,4050,,affiliated managers group,financials,securities,west palm beach,fl,,,no,yes,no,no,yes,no,no,https://fortune.com/company/affiliated-managers-group/fortune500/
260,937,2409.7,3.3,152.2,10.3,4239.1,3687.8,-50,5500,,summit materials,materials,"building materials, glass",denver,co,,,no,yes,no,yes,no,no,no,https://fortune.com/company/summit-materials/fortune500/
261,935,2413,1.3,90,-78,11108,2093.2,-68,8801,,gray television,media,entertainment,atlanta,ga,,,no,yes,no,no,yes,no,no,https://fortune.com/company/gray-television/fortune500/
262,933,2417.6,-12.5,56.7,-73.3,2362.2,463.2,-142,13530,,joann,retailing,specialty retailers: other,hudson,oh,,,no,yes,no,no,no,no,no,https://fortune.com/company/joann/fortune500/
263,931,2422.1,35.6,114.9,,1562.1,868.7,,11700,,genesco,retailing,specialty retailers: apparel,nashville,tn,,,no,yes,no,yes,no,no,no,https://fortune.com/company/genesco/fortune500/
264,932,2417.9,21.7,277.1,75.6,3650,9694.7,26,7765,,bruker,technology,"scientific, photographic and control equipment",billerica,ma,,,no,yes,no,no,yes,no,no,https://fortune.com/company/bruker/fortune500/
265,930,2424.3,12.2,350.7,34.5,1980.9,17260.7,-9,16482,,rollins,business services,diversified outsourcing services,atlanta,ga,,,no,yes,no,no,yes,no,no,https://fortune.com/company/rollins/fortune500/
266,925,2467.5,4.9,130.3,37.2,28838.4,,-47,749,,knights of columbus,financials,"insurance: life, health (mutual)",new haven,ct,,,no,yes,no,no,no,no,no,https://fortune.com/company/knights-of-columbus/fortune500/
267,928,2464,-4.2,1332.9,45.9,21169.2,33802.5,-104,2400,,equity residential,financials,real estate,chicago,il,,,no,yes,no,no,no,no,no,https://fortune.com/company/equity-residential/fortune500/
268,927,2465.1,-0.9,173.1,,2061.9,2617.7,-84,7600,,millerknoll,household products,"home equipment, furnishings",zeeland,mi,,,no,yes,no,yes,no,no,no,https://fortune.com/company/herman-miller/fortune500/
269,921,2505.9,4.8,267.2,32.7,4103.5,5771,-58,7800,,curtiss-wright,industrials,industrial machinery,davidson,nc,,,no,yes,no,yes,no,no,no,https://fortune.com/company/curtiss-wright/fortune500/
270,919,2541.7,5.6,79.2,48.3,2604.7,1127.8,-61,6700,,griffon,materials,"building materials, glass",new york,ny,,,no,yes,no,no,no,no,no,https://fortune.com/company/griffon/fortune500/
271,922,2498.3,11.2,85,44.7,1121.1,1594.5,-16,7600,,myr group,engineering & construction,engineering & construction,henderson,co,,,no,yes,no,no,yes,no,no,https://fortune.com/company/myr-group/fortune500/
272,918,2545.6,19.4,382.6,38.5,2167.7,7457.8,11,3400,,deckers outdoor,apparel,apparel,goleta,ca,,,no,yes,no,no,no,no,no,https://fortune.com/company/deckers-outdoor/fortune500/
273,916,2553.6,8.8,46.3,,3237.6,1351.5,-32,20150,,brightview holdings,business services,diversified outsourcing services,blue bell,pa,,,no,yes,no,no,yes,no,no,https://fortune.com/company/brightview-holdings/fortune500/
274,915,2554,1.4,137,13.7,2639.6,3517.6,-80,9800,,mantech international,technology,information technology services,herndon,va,,,no,yes,no,no,yes,no,no,https://fortune.com/company/mantech-international/fortune500/
275,917,2552,-33.9,554,-85.7,6361,15441.9,-286,2800,,gen digital,technology,computer software,tempe,az,,,no,yes,no,no,no,no,no,https://fortune.com/company/symantec/fortune500/
276,912,2583,8.9,308.5,235,2803.3,7965.8,-40,4000,,playtika holding,media,entertainment,henderson,nv,,,no,yes,no,no,yes,no,no,https://fortune.com/company/playtika-holding/fortune500/
277,909,2596.2,-30.3,26.1,-86.9,2354,1339.5,-264,11400,,steelcase,household products,"home equipment, furnishings",grand rapids,mi,,,no,yes,no,yes,no,no,no,https://fortune.com/company/steelcase/fortune500/
278,908,2603.4,10.7,331.2,7.7,4997.3,12691.2,-26,6429,,f5,technology,network and other communications equipment,seattle,wa,,,no,yes,no,no,yes,no,no,https://fortune.com/company/f5-networks/fortune500/
279,911,2591.6,38.1,171.4,,2555.6,1305.5,79,12500,,guess,retailing,specialty retailers: apparel,los angeles,ca,,,no,yes,no,no,yes,no,no,https://fortune.com/company/guess/fortune500/
280,903,2632.5,20.1,827.3,26.4,4523.1,,9,7100,,maxim integrated products,technology,semiconductors and other electronic components,san jose,ca,,,no,yes,no,no,no,no,no,https://fortune.com/company/maxim-integrated-products/fortune500/
281,904,2627.5,9.4,194.7,14.2,2850.6,4958.3,-45,25900,,ensign group,health care,health care: medical facilities,san juan capistrano,ca,,,no,yes,no,no,yes,no,no,https://fortune.com/company/ensign-group/fortune500/
282,907,2612.2,14.1,320.1,61.5,10537.4,,-10,2702,,federated mutual insurance,financials,insurance: property and casualty (mutual),owatonna,mn,,,no,yes,no,no,yes,no,no,https://fortune.com/company/federated-mutual-insurance/fortune500/
283,901,2666,4.1,-14,,1671,995.2,-75,2600,,mrc global,energy,"oil and gas equipment, services",houston,tx,,,no,no,no,no,no,no,no,https://fortune.com/company/mrc-global/fortune500/
284,902,2646.9,-1.1,-27.8,,5473.1,5415.5,-96,15465,,stericycle,business services,waste management,bannockburn,il,,,no,no,no,yes,yes,no,no,https://fortune.com/company/stericycle/fortune500/
285,899,2677.9,7.8,243.6,,1621.8,1586.9,-53,2023,,prog holdings,financials,diversified financials,draper,ut,,,no,yes,no,no,yes,no,no,https://fortune.com/company/aarons/fortune500/
286,900,2673.7,19.9,-1339.1,,5790.9,23881.6,8,7000,,splunk,technology,computer software,san francisco,ca,,,no,no,no,no,yes,no,yes,https://fortune.com/company/splunk/fortune500/
287,898,2692.5,22.1,936.5,33.8,4562.1,29798.8,12,8600,,copart,retailing,"automotive retailing, services",dallas,tx,,,no,yes,no,no,yes,no,no,https://fortune.com/company/copart/fortune500/
288,897,2695.7,4.4,147.3,-23,1906.5,2385.6,-77,19600,,nu skin enterprises,household products,household and personal products,provo,ut,,,no,yes,no,no,no,no,no,https://fortune.com/company/nu-skin-enterprises/fortune500/
289,896,2701,-7.1,849,,3422,,-132,2262,,mcafee,technology,computer software,san jose,ca,,,no,yes,no,no,no,no,no,https://fortune.com/company/mcafee/fortune500/
290,893,2714.8,36.6,-30.5,-224.1,8216.2,7489.8,64,16275,,americold realty trust,financials,real estate,atlanta,ga,,,no,no,no,no,no,no,no,https://fortune.com/company/americold-realty-trust/fortune500/
291,894,2713.5,27.6,111.9,,7125.9,1457.6,36,15205,,skywest,transportation,airlines,st. george,ut,,,no,yes,no,no,yes,no,no,https://fortune.com/company/skywest/fortune500/
292,895,2709.7,22.2,373.4,-3.3,16123.2,5326.8,14,3170,,primerica,financials,"insurance: life, health (stock)",duluth,ga,,,no,yes,no,no,yes,no,no,https://fortune.com/company/primerica/fortune500/
293,889,2764.6,55.5,242.4,,4082.1,16949.3,,3000,,roku,media,entertainment,san jose,ca,,,no,yes,yes,no,yes,no,no,https://fortune.com/company/roku/fortune500/
294,887,2764.8,17.6,449.4,19,4917.2,14591.6,-6,7536,,idex,industrials,industrial machinery,northbrook,il,,,no,yes,no,no,yes,no,no,https://fortune.com/company/idex/fortune500/
295,892,2734.4,15.3,259.1,53.2,2603.7,2697.9,-21,13525,,werner enterprises,transportation,"trucking, truck leasing",omaha,ne,,,no,yes,no,no,yes,no,no,https://fortune.com/company/werner-enterprises/fortune500/
296,891,2758.3,-22.1,-99.3,-221.1,6410.5,1308.3,-226,28545,,brookdale senior living,health care,health care: medical facilities,brentwood,tn,,,no,no,no,yes,no,no,no,https://fortune.com/company/brookdale-senior-living/fortune500/
297,890,2758.6,61.1,165.1,,1494.4,1445.2,,3167,,schnitzer steel industries,materials,metals,portland,or,,,no,yes,no,yes,yes,no,no,https://fortune.com/company/schnitzer-steel-industries/fortune500/
298,888,2764.8,6.2,934.9,84.5,75097.9,6252.3,-73,8351,,popular,financials,commercial banks,hato rey,pr,,,no,yes,no,no,no,no,no,https://fortune.com/company/popular-2/fortune500/
299,883,2773.8,8.8,389.4,595.3,1066,1897.8,-56,1350,,overstock.com,retailing,internet services and retailing,midvale,ut,,,no,yes,no,no,no,no,no,https://fortune.com/company/overstock-com/fortune500/
300,882,2776.2,12.8,235,11.5,3100.9,5400.1,-30,6780,,fti consulting,business services,diversified outsourcing services,washington,dc,,,no,yes,no,no,yes,no,no,https://fortune.com/company/fti-consulting/fortune500/
301,885,2766.5,34.6,200.6,752,2742.5,1296.1,64,3250,,g-iii apparel group,apparel,apparel,new york,ny,,,no,yes,no,no,yes,no,no,https://fortune.com/company/g-iii-apparel-group/fortune500/
302,884,2773,8.8,41,,2234,3056.1,-56,10000,,visteon,motor vehicles & parts,motor vehicles & parts,van buren township,mi,,,no,yes,no,no,no,no,no,https://fortune.com/company/visteon/fortune500/
303,886,2765,11.6,316.3,336.3,3565.4,6415.4,-37,9900,,itt,industrials,industrial machinery,white plains,ny,,,no,yes,no,no,yes,no,no,https://fortune.com/company/itt/fortune500/
304,877,2785.9,17.8,692.8,32.8,3094.9,18783.4,-3,7800,,waters,technology,"scientific, photographic and control equipment",milford,ma,,,no,yes,no,no,yes,no,no,https://fortune.com/company/waters/fortune500/
305,878,2784.8,83.6,50.7,,28325.2,,,1146,,mutual of america life insurance,financials,"insurance: life, health (mutual)",new york,ny,,,no,yes,no,no,no,no,no,https://fortune.com/company/mutual-of-america-life-insurance/fortune500/
306,881,2777.6,31.2,137,,1843.9,727.5,54,7200,,caleres,retailing,specialty retailers: apparel,st. louis,mo,,,no,yes,no,yes,yes,no,no,https://fortune.com/company/caleres/fortune500/
307,880,2777.9,1.8,117.1,-36.3,6937.3,,-87,3510,,amica mutual insurance,financials,insurance: property and casualty (mutual),lincoln,ri,,,no,yes,no,no,no,no,no,https://fortune.com/company/amica-mutual-insurance/fortune500/
308,879,2782.9,18.7,607.8,1093.5,2320.5,371.9,6,1784,,hovnanian enterprises,engineering & construction,homebuilders,matawan,nj,,,no,yes,no,no,yes,no,no,https://fortune.com/company/hovnanian-enterprises/fortune500/
309,875,2799.8,-6.1,-38.2,,4285.2,3350.8,-126,6300,,ati,materials,metals,pittsburgh,pa,,,no,no,no,no,no,no,no,https://fortune.com/company/allegheny-technologies/fortune500/
310,874,2800.5,41.8,-104.2,,6358.9,10463.5,89,2952,,zynga,media,entertainment,san francisco,ca,,,no,no,no,no,yes,no,no,https://fortune.com/company/zynga/fortune500/
311,871,2821.4,11.8,254.5,,2391.7,2757.6,-38,70000,,cracker barrel old country store,"hotels, restaurants & leisure",food services,lebanon,tn,,,no,yes,no,yes,yes,no,no,https://fortune.com/company/cracker-barrel-old-country-store/fortune500/
312,873,2809.6,10.7,485.4,44.7,6871.7,16642.1,-41,14000,,teleflex,health care,medical products and equipment,wayne,pa,,,no,yes,no,no,no,no,no,https://fortune.com/company/teleflex/fortune500/
313,869,2831.6,31.9,661.8,91.2,3313.8,30508.2,56,10065,,west pharmaceutical services,health care,medical products and equipment,exton,pa,,,no,yes,no,no,yes,no,no,https://fortune.com/company/west-pharmaceutical-services/fortune500/
314,865,2841.8,61.3,-949.9,,12998.6,29916.9,,7867,,twilio,technology,internet services and retailing,san francisco,ca,,,no,no,yes,no,yes,no,no,https://fortune.com/company/twilio/fortune500/
315,870,2827.2,47,-66,,2159.8,1662.5,107,859,,green plains,energy,energy,omaha,ne,,,no,no,no,no,yes,no,no,https://fortune.com/company/green-plains/fortune500/
316,866,2841,11.8,133.7,,14055.4,,-36,,,univision communciations,media,entertainment,new york,ny,,,no,yes,no,no,no,no,no,https://fortune.com/company/univision-communications/fortune500/
317,868,2833.7,18.6,839.5,19.2,13404.7,19398.4,-3,9700,,fleetcor technologies,business services,financial data services,atlanta,ga,,,no,yes,no,no,yes,no,no,https://fortune.com/company/fleetcor-technologies/fortune500/
318,860,2864.8,13.8,249.9,,4014.9,3216.2,-24,10500,,hillenbrand,industrials,industrial machinery,batesville,in,,,no,yes,no,yes,no,no,no,https://fortune.com/company/hillenbrand/fortune500/
319,864,2848.4,45.2,278.8,126,2880.5,8825,105,13150,,five below,retailing,specialty retailers: other,philadelphia,pa,,,no,yes,no,no,yes,no,no,https://fortune.com/company/five-below/fortune500/
320,862,2852,-1.1,157.2,1608,3433.2,2814.6,-91,14000,,moog,aerospace & defense,aerospace & defense,east aurora,ny,,,no,yes,no,no,yes,no,no,https://fortune.com/company/moog/fortune500/
321,863,2850.4,10.5,246.2,24.4,15822.6,4630,-41,3623,,hawaiian electric industries,energy,utilities: gas and electric,honolulu,hi,,,no,yes,no,no,no,no,no,https://fortune.com/company/hawaiian-electric-industries/fortune500/
322,861,2853.9,10.5,286.9,11.6,2400.2,6416.4,-40,13100,,donaldson,industrials,industrial machinery,minneapolis,mn,,,no,yes,no,no,yes,no,no,https://fortune.com/company/donaldson/fortune500/
323,858,2877.2,3.8,916.3,73.9,11273.1,10177.4,-69,1127,,western midstream partners,energy,pipelines,the woodlands,tx,,,no,yes,no,no,yes,no,no,https://fortune.com/company/western-midstream-partners/fortune500/
324,856,2890,78.4,-11,,12352,13875.9,,160,,host hotels & resorts,financials,real estate,bethesda,md,,,no,no,no,no,no,no,no,https://fortune.com/company/host-hotels-resorts/fortune500/
325,857,2888.6,4.4,505.2,-42.1,22365.3,20179.9,-67,743,,boston properties,financials,real estate,boston,ma,,,no,yes,no,no,no,no,no,https://fortune.com/company/boston-properties/fortune500/
326,855,2892.6,11.7,69.9,25.4,1083.4,1375.8,-38,2542,,pc connection,wholesalers,wholesalers: electronics and office equipment,merrimack,nh,,,no,yes,no,no,no,no,no,https://fortune.com/company/pc-connection/fortune500/
327,859,2870.1,18.2,982,20.2,8030,10422.1,-4,1715,,magellan midstream partners,energy,pipelines,tulsa,ok,,,no,yes,no,no,no,no,no,https://fortune.com/company/magellan-midstream-partners/fortune500/
328,852,2922.4,28.1,340.5,922.5,6574.2,7882.5,48,11200,,envista holdings,health care,medical products and equipment,brea,ca,,,no,yes,no,no,no,no,no,https://fortune.com/company/envista-holdings/fortune500/
329,850,2922.5,14.8,4245.9,11.6,17775.8,16982.2,-21,7900,,bio-rad laboratories,technology,"scientific, photographic and control equipment",hercules,ca,,,no,yes,no,no,no,no,no,https://fortune.com/company/bio-rad-laboratories/fortune500/
330,854,2906.4,52.6,750.7,837.7,5216.2,3009.9,129,6169,,newmark group,financials,real estate,new york,ny,,,no,yes,no,no,yes,no,no,https://fortune.com/company/newmark-group/fortune500/
331,851,2922.5,20.2,2944.7,1135.2,9606.2,20587.8,2,12000,,cooper cos.,health care,medical products and equipment,san ramon,ca,,,no,yes,no,no,no,no,no,https://fortune.com/company/cooper-cos/fortune500/
332,848,2927.5,47.6,72.4,,2798.1,2098.6,111,45800,,cheesecake factory,"hotels, restaurants & leisure",food services,calabasas hills,ca,,,no,yes,no,no,yes,no,yes,https://fortune.com/company/cheesecake-factory/fortune500/
333,849,2923.4,7.8,468.7,17.7,7413.7,8904.4,-51,4800,,first solar,energy,energy,tempe,az,,,no,yes,no,no,no,no,no,https://fortune.com/company/first-solar/fortune500/
334,846,2930.2,48.8,411.8,,6660.5,7964,120,527,,range resources,energy,"mining, crude-oil production",fort worth,tx,,,no,yes,no,no,no,no,no,https://fortune.com/company/range-resources/fortune500/
335,845,2938,18.5,308,57.9,109113,27961.7,3,2571,,interactive brokers group,financials,securities,greenwich,ct,,,no,yes,no,no,yes,no,no,https://fortune.com/company/interactive-brokers-group/fortune500/
336,842,2960.4,-1.6,37.8,,1890,388.5,-96,15100,,quad/graphics,media,"publishing, printing",sussex,wi,,,no,yes,no,no,no,no,no,https://fortune.com/company/quadgraphics/fortune500/
337,844,2948,27.2,840.9,32.5,5734.4,42773.4,45,2993,,arista networks,technology,network and other communications equipment,santa clara,ca,,,no,yes,no,yes,yes,no,no,https://fortune.com/company/arista-networks/fortune500/
338,840,2970.3,-39.9,98.4,-97.1,22528.4,7223.5,-311,8000,,uwm holdings,financials,diversified financials,pontiac,mi,,,no,yes,no,no,yes,no,no,https://fortune.com/company/uwm-holdings/fortune500/
339,843,2949.6,26.6,551.4,57.5,4540.3,8327.6,45,6200,,mks instruments,technology,semiconductors and other electronic components,andover,ma,,,no,yes,no,no,yes,no,no,https://fortune.com/company/mks-instruments/fortune500/
340,841,2970,1,1129,109.5,93200,9958.2,-87,9685,,zions bancorp.,financials,commercial banks,salt lake city,ut,,,no,yes,no,no,yes,no,no,https://fortune.com/company/zions-bancorp/fortune500/
341,837,2981,26.7,420,32.5,3191,5660.5,43,9800,,valvoline,chemicals,chemicals,lexington,ky,,,no,yes,no,no,yes,no,no,https://fortune.com/company/valvoline/fortune500/
342,836,2983.3,24.8,277.7,116,5063.3,31007,28,2520,,match group,technology,internet services and retailing,dallas,tx,,,no,yes,no,no,yes,no,no,https://fortune.com/company/match-group/fortune500/
343,835,2986.3,12,948.6,,4933.4,17577.6,-28,2094,,incyte,health care,pharmaceuticals,wilmington,de,,,no,yes,no,no,yes,no,no,https://fortune.com/company/incyte/fortune500/
344,839,2973,3.5,-13,,5985,1076,-65,8063,,avaya holdings,technology,information technology services,durham,nc,,,no,no,no,no,no,no,no,https://fortune.com/company/avaya-holdings/fortune500/
345,838,2977.9,-3.6,143.4,4.6,3462.8,3076,-107,11400,,enersys,industrials,"electronics, electrical equip.",reading,pa,,,no,yes,no,no,no,no,no,https://fortune.com/company/enersys/fortune500/
346,830,2998.1,-24.4,189.6,93.9,5340.4,3617.6,-209,12100,,spectrum brands holdings,household products,household and personal products,middleton,wi,,,no,yes,no,no,no,no,no,https://fortune.com/company/hrg-group/fortune500/
347,833,2990.7,10.6,413,20.8,4349.8,4087.8,-32,8500,,vontier,technology,"electronics, electrical equip.",raleigh,nc,,,no,yes,no,no,yes,no,no,https://fortune.com/company/vontier/fortune500/
348,834,2988.2,11.4,696,17.8,4386.3,45781.7,-29,9298,,cadence design systems,technology,computer software,san jose,ca,,,no,yes,no,no,yes,no,yes,https://fortune.com/company/cadence-design-systems/fortune500/
349,832,2991.1,1.8,477,-1.2,6917.6,4962.6,-76,6200,,tegna,media,entertainment,tysons,va,,,no,yes,no,no,no,no,no,https://fortune.com/company/tegna/fortune500/
350,831,2995.4,20.7,70.7,,4744.3,6658.2,16,8800,,euronet worldwide,business services,financial data services,leawood,ks,,,no,yes,no,no,yes,no,no,https://fortune.com/company/euronet-worldwide/fortune500/
351,828,3009.5,11.2,-218.3,,6328.7,2365.6,-29,6600,,rackspace technology,technology,internet services and retailing,san antonio,tx,,,no,no,no,no,no,no,no,https://fortune.com/company/rackspace-technology/fortune500/
352,825,3024,-2.3,1168,146.4,94616,11854.4,-96,7442,,comerica,financials,commercial banks,dallas,tx,,,no,yes,no,no,no,no,no,https://fortune.com/company/comerica/fortune500/
353,827,3018.7,4.8,248.5,11.4,4999.1,,-54,10000,,hill-rom holdings,health care,medical products and equipment,chicago,il,,,no,yes,no,no,no,no,no,https://fortune.com/company/hill-rom-holdings/fortune500/
354,826,3021.5,5.6,160.9,,5007.5,2191.7,-51,6000,,energizer holdings,household products,household and personal products,st. louis,mo,,,no,yes,no,no,yes,no,no,https://fortune.com/company/energizer-holdings/fortune500/
355,829,2998.6,7.7,666.2,-6.5,7808.1,34616.2,-41,9367,,verisk analytics,business services,financial data services,jersey city,nj,,,no,yes,no,no,yes,no,no,https://fortune.com/company/verisk-analytics/fortune500/
356,822,3051.4,16.8,587.1,22.2,9795.4,20395.7,-8,12023,,brown & brown,financials,insurance: property and casualty (stock),daytona beach,fl,,,no,yes,no,no,yes,no,no,https://fortune.com/company/brown-brown/fortune500/
357,824,3028,46.6,-222,,12603,10498.3,122,44000,,hyatt hotels,"hotels, restaurants & leisure","hotels, casinos, resorts",chicago,il,,,no,no,no,no,yes,no,yes,https://fortune.com/company/hyatt-hotels/fortune500/
358,820,3073.6,7.6,143.3,-4.5,2209.1,3200.5,-44,13200,,comfort systems usa,engineering & construction,engineering & construction,houston,tx,,,no,yes,no,no,yes,no,no,https://fortune.com/company/comfort-systems-usa/fortune500/
359,821,3064.7,0.2,-1155.8,,21607.4,12955.4,-82,693,,eqt,energy,energy,pittsburgh,pa,,,no,no,no,no,yes,no,no,https://fortune.com/company/eqt/fortune500/
360,819,3075,61.8,113.3,,3534.7,4976.7,167,7000,,championx,energy,"oil and gas equipment, services",the woodlands,tx,,,no,yes,no,no,yes,no,no,https://fortune.com/company/championx/fortune500/
361,818,3075.7,9.4,-173,-566.3,1970.1,561.2,-36,8100,,hyster-yale materials handling,industrials,industrial machinery,cleveland,oh,,,no,no,no,no,yes,no,no,https://fortune.com/company/hyster-yale-materials-handling/fortune500/
362,817,3077.6,9.3,250.6,4.4,5748.9,1721.7,-38,1883,,amc networks,media,entertainment,new york,ny,,,no,yes,no,no,no,no,no,https://fortune.com/company/amc-networks/fortune500/
363,816,3079.6,-1.8,62.3,-41.6,2669.8,3148,-94,875,,grocery outlet holding,food & drug stores,food and drug stores,emeryville,ca,,,no,yes,no,no,yes,no,no,https://fortune.com/company/grocery-outlet-holding/fortune500/
364,810,3134,45.1,308,,6588,4966.2,112,16800,,travel + leisure,"hotels, restaurants & leisure","hotels, casinos, resorts",orlando,fl,,,no,yes,no,no,yes,no,no,https://fortune.com/company/wyndham-worldwide/fortune500/
365,814,3105.9,30.5,297.6,,6512.7,7708.2,54,22961,,coherent,technology,semiconductors and other electronic components,saxonburg,pa,,,no,yes,no,no,no,no,no,https://fortune.com/company/ii-vi/fortune500/
366,812,3130.5,-2.1,48.6,41.5,2118.2,2821,-102,15024,,dycom industries,engineering & construction,engineering & construction,palm beach gardens,fl,,,no,yes,no,no,yes,no,no,https://fortune.com/company/dycom-industries/fortune500/
367,813,3126.4,25,354.1,227.8,3067.1,5840.4,28,8325,,columbia sportswear,apparel,apparel,portland,or,,,no,yes,no,no,yes,no,no,https://fortune.com/company/columbia-sportswear/fortune500/
368,806,3171.4,3.7,723.8,818.6,3373.2,2537.8,-68,9000,,worthington industries,materials,metals,columbus,oh,,,no,yes,no,no,no,no,no,https://fortune.com/company/worthington-industries/fortune500/
369,807,3148,38.8,-260.1,,2127.9,1070.8,96,1450,,calumet specialty products partners,energy,petroleum refining,indianapolis,in,,,no,no,no,no,yes,no,no,https://fortune.com/company/calumet-specialty-products/fortune500/
370,808,3147.6,-0.5,646.5,-18.4,5519.2,,-92,4890,,xilinx,technology,semiconductors and other electronic components,san jose,ca,,,no,yes,no,yes,no,no,no,https://fortune.com/company/xilinx/fortune500/
371,809,3145,15.8,1387.1,304.2,12635,19882.6,-13,10200,,transunion,business services,financial data services,chicago,il,,,no,yes,no,no,yes,no,no,https://fortune.com/company/transunion/fortune500/
372,801,3208.1,-5.8,-135,,2828.1,643.9,-118,16300,,gannett,media,"publishing, printing",mclean,va,,,no,no,no,no,no,no,no,https://fortune.com/company/gannett/fortune500/
373,803,3196.6,43,154.5,,2014.6,991.4,104,13500,,designer brands,retailing,specialty retailers: apparel,columbus,oh,,,no,yes,no,no,yes,no,no,https://fortune.com/company/dsw/fortune500/
374,804,3186,10.3,352.1,17.2,7425.5,3000.6,-36,15048,,graham holdings,business services,miscellaneous,arlington,va,,,no,yes,no,no,yes,no,no,https://fortune.com/company/graham-holdings/fortune500/
375,802,3196.8,8.1,474.5,-23.7,4728.1,35463.3,-51,7970,,resmed,health care,medical products and equipment,san diego,ca,,,no,yes,no,no,yes,no,no,https://fortune.com/company/resmed/fortune500/
376,800,3208.3,35.7,-1009.4,,4773.9,13384.6,75,4453,,lyft,technology,internet services and retailing,san francisco,ca,,,no,no,yes,no,no,no,no,https://fortune.com/company/lyft/fortune500/
377,798,3215.4,18.8,744.8,28,2437.2,46089.3,2,10350,,idexx laboratories,health care,medical products and equipment,westbrook,me,,,no,yes,no,no,yes,no,no,https://fortune.com/company/idexx-laboratories/fortune500/
378,799,3213.5,7.3,232.8,33.9,2576.6,8906.7,-51,21000,,tetra tech,engineering & construction,engineering & construction,pasadena,ca,,,no,yes,no,no,yes,no,no,https://fortune.com/company/tetra-tech/fortune500/
379,797,3217.2,-0.6,307.5,-39,6975.5,12704.6,-90,9700,,citrix systems,technology,computer software,fort lauderdale,fl,,,no,yes,no,no,yes,no,no,https://fortune.com/company/citrix-systems/fortune500/
380,796,3227.2,10.2,244.1,14,4141.4,7702.9,-37,13000,,aptargroup,materials,"packaging, containers",crystal lake,il,,,no,yes,no,no,no,no,no,https://fortune.com/company/aptargroup-2/fortune500/
381,795,3230.8,78.5,-472.6,,8540,2375.4,,9823,,spirit airlines,transportation,airlines,miramar,fl,,,no,no,no,no,yes,no,no,https://fortune.com/company/spirit-airlines/fortune500/
382,792,3235.9,-0.3,144.8,502.1,2271.8,3947.9,-91,5947,,applied industrial technologies,wholesalers,wholesalers: diversified,cleveland,oh,,,no,yes,no,no,no,no,no,https://fortune.com/company/applied-industrial-technologies/fortune500/
383,794,3234,-4.6,999,18.2,89092,12542.9,-108,7676,,first horizon,financials,commercial banks,memphis,tn,,,no,yes,no,no,no,no,no,https://fortune.com/company/first-horizon-national-corp/fortune500/
384,793,3234.2,21.8,276.5,34.1,2592.3,8079.1,16,11000,,lincoln electric holdings,industrials,industrial machinery,cleveland,oh,,,no,yes,no,no,yes,no,no,https://fortune.com/company/lincoln-electric-holdings/fortune500/
385,790,3243.2,1.6,216.9,-13.6,2462.1,4758.3,-78,6472,,msc industrial direct,wholesalers,wholesalers: diversified,melville,ny,,,no,yes,no,no,yes,no,no,https://fortune.com/company/msc-industrial-direct/fortune500/
386,788,3250.8,29.3,488.5,135.7,6383.6,8961.1,49,10624,,middleby,industrials,industrial machinery,elgin,il,,,no,yes,no,no,yes,no,no,https://fortune.com/company/middleby/fortune500/
387,787,3278,17.5,161.4,30.5,4274.5,3505.2,-1,6500,,h.b. fuller,chemicals,chemicals,st. paul,mn,,,no,yes,no,yes,yes,no,no,https://fortune.com/company/h-b-fuller/fortune500/
388,791,3240.5,29.5,298,142.4,3543.3,2840.1,49,22800,,vishay intertechnology,technology,semiconductors and other electronic components,malvern,pa,,,no,yes,no,no,yes,no,no,https://fortune.com/company/vishay-intertechnology/fortune500/
389,789,3244.1,51.8,213.8,74.1,2558.9,3056.2,139,1196,,renewable energy group,energy,petroleum refining,ames,ia,,,no,yes,no,yes,yes,no,no,https://fortune.com/company/renewable-energy-group/fortune500/
390,785,3303.7,22.6,151.7,25.7,3116.7,2286.5,19,6750,,central garden & pet,household products,household and personal products,walnut creek,ca,,,no,yes,no,no,yes,no,no,https://fortune.com/company/central-garden-pet/fortune500/
391,786,3298.8,1.8,105.6,351.5,2483.9,2142.1,-83,5843,,gms,wholesalers,wholesalers: diversified,tucker,ga,,,no,yes,no,no,yes,no,no,https://fortune.com/company/gms/fortune500/
392,783,3307.1,44.7,740.1,111.1,3802.7,4275.1,116,1940,,evercore,financials,securities,new york,ny,,,no,yes,no,no,yes,no,no,https://fortune.com/company/evercore/fortune500/
393,780,3328,6.4,123.7,-67.1,10974.1,25899.4,-57,6000,,albemarle,chemicals,chemicals,charlotte,nc,,,no,yes,no,no,yes,no,no,https://fortune.com/company/albemarle/fortune500/
