fortune_company_id,fortune_rank,fortune_revenues,fortune_revchange,fortune_profits,fortune_prftchange,fortune_assets,fortune_mktval,fortune_rankchange1000,fortune_employees,fortune_rankchange,name,fortune_sector,fortune_industry,fortune_hqcity,fortune_hqstate,fortune_rankgain,fortune_rankdrop,fortune_newcomer,fortune_profitable,fortune_ceofounder,fortune_ceowoman,fortune_jobgrowth,fortune1000-y-n,best-company-y-n,permalink
196,876,2793.1,92.5,35.4,,6163.6,20696.8,,1594,,applovin,technology,computer software,palo alto,ca,,,no,yes,yes,no,yes,no,no,https://fortune.com/company/applovin/fortune500/
197,905,2622.9,132.8,36.2,,5234,4746.5,,506,,sm energy,energy,"mining, crude-oil production",denver,co,,,no,yes,no,no,yes,no,no,https://fortune.com/company/sm-energy/fortune500/
198,906,2622,123.6,-18.5,-164.2,2422.4,1493.9,,3957,,kaiser aluminum,materials,metals,foothill ranch,ca,,,no,no,no,no,yes,no,no,https://fortune.com/company/kaiser-aluminum/fortune500/
199,913,2578,52.3,316.4,,3537.2,16196.9,,3225,,pinterest,technology,internet services and retailing,san francisco,ca,,,no,yes,yes,no,yes,no,no,https://fortune.com/company/pinterest/fortune500/
200,914,2570.1,-24.8,-4439,,21756.2,4937.4,,4400,,wework,financials,real estate,new york,ny,,,no,no,no,no,no,no,no,https://fortune.com/company/wework/fortune500/
201,920,2527.9,103.5,-1269.1,,10821.5,12733.4,,17122,,amc entertainment holdings,media,entertainment,leawood,ks,,,no,no,no,no,yes,no,no,https://fortune.com/company/amc-entertainment-holdings/fortune500/
202,923,2475.9,,195.4,,1533,2325.3,,14000,,kontoor brands,apparel,apparel,greensboro,nc,,,no,yes,no,no,no,no,no,https://fortune.com/company/kontoor-brands/fortune500/
203,924,2470.8,155.8,-179.2,,2040.7,2757.9,,3601,,liberty energy,energy,"oil and gas equipment, services",denver,co,,,no,no,yes,no,yes,no,no,https://fortune.com/company/liberty-energy/fortune500/
204,926,2465.1,133.4,156.2,,5250.5,2146.6,,10700,,adapthealth,health care,wholesalers: health care,plymouth meeting,pa,,,no,yes,no,no,yes,no,no,https://fortune.com/company/adapthealth/fortune500/
205,395,8848,,3183,,375484,3895.1,,3150,,jackson financial,financials,"insurance: life, health (stock)",lansing,mi,no,no,yes,yes,no,yes,no,no,no,https://fortune.com/company/jackson-financial/fortune500/
